algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
BFS,0,866,275.0,275.0,1.734,True
DFS,0,1107,,,1.896,False
DLS50,0,978,,,2.65,False
DLS75,0,1468,391.0,381.0,1.93,True
DLS100,0,1320,,,2.985,False
UCS,0,1299,338.0,293.0,2.127,True
A*,0,1105,284.0,259.0,1.428,True
BFS,1,774,333.0,333.0,2.263,True
DFS,1,1837,527.0,429.0,1.809,True
DLS50,1,1148,,,2.149,False
DLS75,1,1203,,,2.39,False
DLS100,1,1806,470.0,406.0,2.302,True
UCS,1,1374,319.0,301.0,2.275,True
A*,1,1076,122.0,121.0,1.349,True
BFS,2,1385,347.0,347.0,1.626,True
DFS,2,1637,227.0,192.0,1.356,True
DLS50,2,1007,,,2.544,False
DLS75,2,1397,378.0,355.0,2.114,True
DLS100,2,950,,,2.14,False
UCS,2,1374,325.0,321.0,3.003,True
A*,2,1139,231.0,234.0,1.591,True
BFS,3,932,223.0,223.0,2.283,True
DFS,3,2240,459.0,409.0,1.406,True
DLS50,3,794,,,1.532,False
DLS75,3,1273,577.0,535.0,1.739,True
DLS100,3,1682,,,3.04,False
UCS,3,923,,,4.455,False
A*,3,900,169.0,164.0,1.413,True
BFS,4,999,342.0,342.0,2.896,True
DFS,4,1427,460.0,391.0,1.137,True
DLS50,4,941,,,1.77,False
DLS75,4,1564,474.0,504.0,1.098,True
DLS100,4,1311,340.0,307.0,1.862,True
UCS,4,1449,339.0,303.0,3.94,True
A*,4,661,203.0,224.0,1.901,True
BFS,5,1166,328.0,328.0,2.43,True
DFS,5,807,,,2.741,False
DLS50,5,2168,285.0,292.0,1.811,True
DLS75,5,1787,438.0,374.0,1.297,True
DLS100,5,1749,,,3.349,False
UCS,5,1386,296.0,288.0,2.697,True
A*,5,1280,123.0,101.0,1.329,True
BFS,6,1163,243.0,243.0,1.693,True
DFS,6,1692,,,2.13,False
DLS50,6,1194,,,2.413,False
DLS75,6,1586,,,1.713,False
DLS100,6,2280,463.0,392.0,1.453,True
UCS,6,623,331.0,307.0,2.57,True
A*,6,756,164.0,132.0,1.669,True
BFS,7,1330,,,3.007,False
DFS,7,1067,395.0,329.0,1.202,True
DLS50,7,1213,,,3.22,False
DLS75,7,1472,,,2.382,False
DLS100,7,844,320.0,280.0,2.049,True
UCS,7,898,222.0,218.0,3.488,True
A*,7,809,238.0,199.0,1.722,True
BFS,8,1615,330.0,330.0,2.314,True
DFS,8,1609,601.0,673.0,1.848,True
DLS50,8,2030,,,2.601,False
DLS75,8,1675,284.0,267.0,1.416,True
DLS100,8,1406,325.0,336.0,2.096,True
UCS,8,959,236.0,240.0,2.381,True
A*,8,722,203.0,207.0,1.946,True
BFS,9,1449,143.0,143.0,2.113,True
DFS,9,1417,357.0,303.0,1.365,True
DLS50,9,1520,298.0,284.0,1.5,True
DLS75,9,1881,162.0,144.0,2.138,True
DLS100,9,1514,342.0,335.0,2.302,True
UCS,9,647,302.0,313.0,3.195,True
A*,9,424,104.0,107.0,1.356,True
BFS,10,1372,109.0,109.0,2.214,True
DFS,10,1532,275.0,281.0,1.113,True
DLS50,10,1578,,,1.581,False
DLS75,10,1868,,,1.832,False
DLS100,10,1205,531.0,495.0,2.295,True
UCS,10,838,321.0,338.0,3.232,True
A*,10,956,288.0,301.0,1.984,True
BFS,11,695,109.0,109.0,2.606,True
DFS,11,807,208.0,227.0,1.134,True
DLS50,11,1601,420.0,366.0,1.024,True
DLS75,11,1389,,,2.235,False
DLS100,11,1666,404.0,338.0,1.895,True
UCS,11,142,191.0,174.0,3.317,True
A*,11,1025,242.0,238.0,1.129,True
BFS,12,993,289.0,289.0,2.727,True
DFS,12,1764,,,2.922,False
DLS50,12,1704,246.0,217.0,1.846,True
DLS75,12,1183,,,1.926,False
DLS100,12,1093,,,2.18,False
UCS,12,1067,247.0,229.0,3.69,True
A*,12,929,243.0,221.0,1.582,True
BFS,13,1009,329.0,329.0,2.183,True
DFS,13,1024,,,3.462,False
DLS50,13,1112,,,2.643,False
DLS75,13,2372,420.0,400.0,2.074,True
DLS100,13,1736,,,2.555,False
UCS,13,919,339.0,319.0,2.925,True
A*,13,636,290.0,336.0,1.873,True
BFS,14,649,,,4.169,False
DFS,14,1618,310.0,330.0,1.772,True
DLS50,14,1080,458.0,509.0,0.888,True
DLS75,14,1828,186.0,172.0,1.57,True
DLS100,14,944,,,3.12,False
UCS,14,1089,,,6.075,False
A*,14,769,296.0,337.0,1.571,True
BFS,15,1259,285.0,285.0,2.515,True
