algorithm_name,env_n,size,best_solution,H,states,time
Random,1,4,"[3, 3, 0, 2]",0,302,0.0009
Hill Climbing,1,4,"[3, 3, 0, 2]",0,2,0.0
Simulated Annealing,1,4,"[3, 3, 0, 2]",0,65,0.0003
Genetic Algorithm,1,4,"[1, 3, 0, 2]",0,201,0.0028
Random,2,4,"[1, 0, 2, 0]",0,421,0.0013
Hill Climbing,2,4,"[1, 0, 2, 0]",0,203,0.0038
Simulated Annealing,2,4,"[1, 0, 2, 0]",0,278,0.0014
Genetic Algorithm,2,4,"[1, 3, 0, 2]",0,201,0.0026
Random,3,4,"[0, 0, 0, 2]",0,446,0.0013
Hill Climbing,3,4,"[0, 0, 0, 2]",0,3,0.0
Simulated Annealing,3,4,"[0, 0, 0, 2]",0,25,0.0001
Genetic Algorithm,3,4,"[1, 3, 0, 2]",0,201,0.0026
Random,4,4,"[1, 1, 2, 3]",0,14,0.0001
Hill Climbing,4,4,"[1, 1, 2, 3]",0,202,0.0039
Simulated Annealing,4,4,"[1, 1, 2, 3]",0,139,0.0008
Genetic Algorithm,4,4,"[2, 0, 3, 1]",0,201,0.0027
Random,5,4,"[1, 2, 0, 3]",0,12,0.0
Hill Climbing,5,4,"[1, 2, 0, 3]",0,101,0.0012
Simulated Annealing,5,4,"[1, 2, 0, 3]",0,459,0.0021
Genetic Algorithm,5,4,"[1, 3, 0, 2]",0,201,0.0026
Random,6,4,"[2, 2, 0, 3]",0,102,0.0003
Hill Climbing,6,4,"[2, 2, 0, 3]",0,103,0.001
Simulated Annealing,6,4,"[2, 2, 0, 3]",0,70,0.0003
Genetic Algorithm,6,4,"[2, 0, 3, 1]",0,201,0.0026
Random,7,4,"[0, 3, 2, 0]",0,4,0.0
Hill Climbing,7,4,"[0, 3, 2, 0]",0,205,0.0038
Simulated Annealing,7,4,"[0, 3, 2, 0]",0,100,0.0006
Genetic Algorithm,7,4,"[1, 3, 0, 2]",0,603,0.0468
Random,8,4,"[2, 1, 3, 0]",0,93,0.0003
Hill Climbing,8,4,"[2, 1, 3, 0]",0,104,0.0012
Simulated Annealing,8,4,"[2, 1, 3, 0]",0,266,0.0012
Genetic Algorithm,8,4,"[1, 3, 0, 2]",0,402,0.0244
Random,9,4,"[1, 2, 3, 1]",0,7,0.0
Hill Climbing,9,4,"[1, 2, 3, 1]",0,4,0.0
Simulated Annealing,9,4,"[1, 2, 3, 1]",0,115,0.0006
Genetic Algorithm,9,4,"[2, 0, 3, 1]",0,201,0.0026
Random,10,4,"[3, 2, 2, 1]",0,4,0.0
Hill Climbing,10,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,10,4,"[3, 2, 2, 1]",0,88,0.0004
Genetic Algorithm,10,4,"[2, 0, 3, 1]",0,201,0.0026
Random,11,4,"[0, 3, 3, 0]",0,25,0.0001
Hill Climbing,11,4,"[0, 3, 3, 0]",0,305,0.0065
Simulated Annealing,11,4,"[0, 3, 3, 0]",0,59,0.0003
Genetic Algorithm,11,4,"[2, 0, 3, 1]",0,201,0.0026
Random,12,4,"[3, 3, 3, 1]",0,4,0.0
Hill Climbing,12,4,"[3, 3, 3, 1]",0,3,0.0
Simulated Annealing,12,4,"[3, 3, 3, 1]",0,226,0.0012
Genetic Algorithm,12,4,"[1, 3, 0, 2]",0,201,0.0026
Random,13,4,"[3, 2, 2, 1]",0,277,0.0009
Hill Climbing,13,4,"[3, 2, 2, 1]",0,4,0.0
Simulated Annealing,13,4,"[3, 2, 2, 1]",0,95,0.0005
Genetic Algorithm,13,4,"[2, 0, 3, 1]",0,201,0.0026
Random,14,4,"[2, 2, 1, 1]",0,278,0.0009
Hill Climbing,14,4,"[2, 2, 1, 1]",0,3,0.0
