Algoritmo,Tamaño,Semilla,Éxito,Tiempo,Nodos
Backtracking,4,0,1,0.000141143798828125,7
Backtracking,4,1,1,4.3392181396484375e-05,45
Backtracking,4,2,1,1.1920928955078125e-05,7
Backtracking,4,3,1,4.100799560546875e-05,45
Backtracking,4,4,1,1.1205673217773438e-05,8
Backtracking,4,5,1,2.574920654296875e-05,23
Backtracking,4,6,1,2.6464462280273438e-05,26
Backtracking,4,7,1,2.574920654296875e-05,27
Backtracking,4,8,1,2.574920654296875e-05,28
Backtracking,4,9,1,2.6464462280273438e-05,28
Backtracking,4,10,1,2.47955322265625e-05,26
Backtracking,4,11,1,2.47955322265625e-05,24
Backtracking,4,12,1,2.5510787963867188e-05,26
Backtracking,4,13,1,3.886222839355469e-05,41
Backtracking,4,14,1,1.1205673217773438e-05,8
Backtracking,4,15,1,2.5033950805664062e-05,24
Backtracking,4,16,1,3.7670135498046875e-05,39
Backtracking,4,17,1,2.5987625122070312e-05,26
Backtracking,4,18,1,1.4781951904296875e-05,12
Backtracking,4,19,1,1.2159347534179688e-05,10
Backtracking,4,20,1,1.049041748046875e-05,5
Backtracking,4,21,1,2.5987625122070312e-05,25
Backtracking,4,22,1,2.7179718017578125e-05,28
Backtracking,4,23,1,1.1920928955078125e-05,10
Backtracking,4,24,1,1.1205673217773438e-05,7
Backtracking,4,25,1,1.2874603271484375e-05,12
Backtracking,4,26,1,3.981590270996094e-05,44
Backtracking,4,27,1,2.5033950805664062e-05,25
Backtracking,4,28,1,1.0013580322265625e-05,5
Backtracking,4,29,1,2.5272369384765625e-05,26
Forward Checking,4,0,1,0.0001125335693359375,4
Forward Checking,4,1,1,0.00019240379333496094,12
Forward Checking,4,2,1,7.343292236328125e-05,4
Forward Checking,4,3,1,0.0001900196075439453,12
Forward Checking,4,4,1,7.200241088867188e-05,4
Forward Checking,4,5,1,0.0001304149627685547,8
Forward Checking,4,6,1,0.00012826919555664062,8
Forward Checking,4,7,1,0.00013446807861328125,8
Forward Checking,4,8,1,0.00013256072998046875,8
Forward Checking,4,9,1,0.00013113021850585938,8
Forward Checking,4,10,1,0.00013208389282226562,8
Forward Checking,4,11,1,0.00012755393981933594,8
Forward Checking,4,12,1,0.00013017654418945312,8
Forward Checking,4,13,1,0.00018596649169921875,12
Forward Checking,4,14,1,7.653236389160156e-05,4
Forward Checking,4,15,1,0.00012993812561035156,8
Forward Checking,4,16,1,0.0001850128173828125,12
Forward Checking,4,17,1,0.0001285076141357422,8
Forward Checking,4,18,1,7.200241088867188e-05,4
Forward Checking,4,19,1,7.081031799316406e-05,4
Forward Checking,4,20,1,7.319450378417969e-05,4
Forward Checking,4,21,1,0.00012731552124023438,8
Forward Checking,4,22,1,0.00013637542724609375,8
Forward Checking,4,23,1,7.176399230957031e-05,4
Forward Checking,4,24,1,7.176399230957031e-05,4
Forward Checking,4,25,1,7.62939453125e-05,4
Forward Checking,4,26,1,0.0001850128173828125,12
Forward Checking,4,27,1,0.00012683868408203125,8
Forward Checking,4,28,1,7.557868957519531e-05,4
Forward Checking,4,29,1,0.00012755393981933594,8
Backtracking,8,0,1,8.20159912109375e-05,63
Backtracking,8,1,1,4.3392181396484375e-05,30
Backtracking,8,2,1,0.00014019012451171875,120
Backtracking,8,3,1,0.0004799365997314453,501
Backtracking,8,4,1,0.00035381317138671875,362
Backtracking,8,5,1,0.00011134147644042969,103
Backtracking,8,6,1,9.799003601074219e-05,83
Backtracking,8,7,1,0.00018715858459472656,194
Backtracking,8,8,1,3.6716461181640625e-05,23
Backtracking,8,9,1,0.00010371208190917969,95
Backtracking,8,10,1,0.00013494491577148438,126
Backtracking,8,11,1,0.00016999244689941406,168
Backtracking,8,12,1,9.632110595703125e-05,81
Backtracking,8,13,1,0.00012135505676269531,114
Backtracking,8,14,1,5.626678466796875e-05,43
Backtracking,8,15,1,0.0004322528839111328,445
Backtracking,8,16,1,0.00010585784912109375,98
Backtracking,8,17,1,6.604194641113281e-05,53
Backtracking,8,18,1,6.818771362304688e-05,53
Backtracking,8,19,1,7.653236389160156e-05,60
Backtracking,8,20,1,0.00023984909057617188,243
Backtracking,8,21,1,9.608268737792969e-05,85
Backtracking,8,22,1,6.29425048828125e-05,50
Backtracking,8,23,1,0.0002598762512207031,261
Backtracking,8,24,1,0.00014972686767578125,141
Backtracking,8,25,1,5.340576171875e-05,39
Backtracking,8,26,1,0.0002677440643310547,269
Backtracking,8,27,1,7.534027099609375e-05,65
Backtracking,8,28,1,3.647804260253906e-05,20
Backtracking,8,29,1,5.555152893066406e-05,40
Forward Checking,8,0,1,0.0008034706115722656,24
Forward Checking,8,1,1,0.0004839897155761719,13
Forward Checking,8,2,1,0.0004611015319824219,12
Forward Checking,8,3,1,0.002137899398803711,68
